seed,C,M
1984,10,4
931,10,4
4066,10,4
5200,10,4
8513,10,4
4339,10,4
1625,10,4
5356,10,4
6275,10,4
6819,10,4
1984,10,8
931,10,8
4066,10,8
5200,10,8
8513,10,8
4339,10,8
1625,10,8
5356,10,8
6275,10,8
6819,10,8
1984,10,16
931,10,16
4066,10,16
5200,10,16
8513,10,16
4339,10,16
1625,10,16
5356,10,16
6275,10,16
6819,10,16
1984,10,32
931,10,32
4066,10,32
5200,10,32
8513,10,32
4339,10,32
1625,10,32
5356,10,32
6275,10,32
6819,10,32
1984,10,64
931,10,64
4066,10,64
5200,10,64
8513,10,64
4339,10,64
1625,10,64
5356,10,64
6275,10,64
6819,10,64
1984,10,128
931,10,128
4066,10,128
5200,10,128
8513,10,128
4339,10,128
1625,10,128
5356,10,128
6275,10,128
6819,10,128
1984,10,256
931,10,256
4066,10,256
5200,10,256
8513,10,256
4339,10,256
1625,10,256
5356,10,256
6275,10,256
6819,10,256
1984,10,512
931,10,512
4066,10,512
5200,10,512
8513,10,512
4339,10,512
1625,10,512
5356,10,512
6275,10,512
6819,10,512
1984,10,1024
931,10,1024
4066,10,1024
5200,10,1024
8513,10,1024
4339,10,1024
1625,10,1024
5356,10,1024
6275,10,1024
6819,10,1024
1984,10,2048
931,10,2048
4066,10,2048
5200,10,2048
8513,10,2048
4339,10,2048
1625,10,2048
5356,10,2048
6275,10,2048
6819,10,2048
1984,1000,4
931,1000,4
4066,1000,4
5200,1000,4
8513,1000,4
4339,1000,4
1625,1000,4
5356,1000,4
6275,1000,4
6819,1000,4
1984,1000,8
931,1000,8
4066,1000,8
5200,1000,8
8513,1000,8
4339,1000,8
1625,1000,8
5356,1000,8
6275,1000,8
6819,1000,8
1984,1000,16
931,1000,16
4066,1000,16
5200,1000,16
8513,1000,16
4339,1000,16
1625,1000,16
5356,1000,16
6275,1000,16
6819,1000,16
1984,1000,32
931,1000,32
4066,1000,32
5200,1000,32
8513,1000,32
4339,1000,32
1625,1000,32
5356,1000,32
6275,1000,32
6819,1000,32
1984,1000,64
931,1000,64
4066,1000,64
5200,1000,64
8513,1000,64
4339,1000,64
1625,1000,64
5356,1000,64
6275,1000,64
6819,1000,64
1984,1000,128
931,1000,128
4066,1000,128
5200,1000,128
8513,1000,128
4339,1000,128
1625,1000,128
5356,1000,128
6275,1000,128
6819,1000,128
1984,1000,256
931,1000,256
4066,1000,256
5200,1000,256
8513,1000,256
4339,1000,256
1625,1000,256
5356,1000,256
6275,1000,256
6819,1000,256
1984,1000,512
931,1000,512
4066,1000,512
5200,1000,512
8513,1000,512
4339,1000,512
1625,1000,512
5356,1000,512
6275,1000,512
6819,1000,512
1984,1000,1024
931,1000,1024
4066,1000,1024
5200,1000,1024
8513,1000,1024
4339,1000,1024
1625,1000,1024
5356,1000,1024
6275,1000,1024
6819,1000,1024
1984,1000,2048
931,1000,2048
4066,1000,2048
5200,1000,2048
8513,1000,2048
4339,1000,2048
1625,1000,2048
5356,1000,2048
6275,1000,2048
6819,1000,2048
